SerialNumber,y_debt,logistic_l2_error,knn_error,kernel_logistic_rbf_error
1,0,0,0,0
3,0,0,1,0
4,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
12,0,0,0,0
13,0,0,0,0
15,0,0,0,0
17,0,0,0,0
18,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
24,1,1,0,1
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,1,1,1
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
36,0,0,0,0
38,0,0,0,0
39,0,0,0,0
41,0,0,0,0
42,1,0,0,0
44,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,1,1,1
52,0,0,0,0
53,0,0,0,0
56,0,0,0,0
57,0,0,0,0
59,1,1,1,1
61,1,1,1,1
62,0,0,1,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,1,0
70,0,0,0,0
73,0,0,0,0
75,0,0,0,0
77,0,0,0,0
79,0,0,0,0
82,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,1,0,0,0
87,0,0,0,0
89,0,0,0,0
91,0,0,0,0
93,0,0,0,0
94,0,0,0,0
96,1,1,1,1
97,0,0,0,0
98,0,0,0,0
99,0,0,0,0
100,0,0,0,0
101,0,0,0,0
103,0,0,0,0
105,0,0,0,0
106,0,0,0,0
107,0,1,1,1
111,0,0,0,0
113,0,1,1,0
114,0,0,1,0
115,0,0,0,0
116,0,0,0,0
117,0,0,0,0
119,0,0,1,0
120,0,1,1,1
123,0,0,0,0
125,0,0,1,0
127,1,1,1,1
128,0,0,0,0
130,1,0,0,0
134,0,0,0,0
135,1,0,0,0
136,0,0,1,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
146,0,1,0,1
147,0,0,1,1
148,0,0,0,0
149,1,1,1,1
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,1,0
155,0,1,1,1
156,0,0,0,0
159,0,0,0,0
161,1,0,0,1
163,0,0,0,0
165,0,1,1,1
166,0,0,0,0
167,0,0,0,0
169,0,0,0,0
170,0,0,1,0
171,0,0,0,0
172,1,0,0,0
173,1,1,1,1
175,0,0,0,0
176,0,0,0,0
177,0,0,0,0
181,0,0,0,0
182,0,0,0,0
183,0,0,0,0
184,0,0,0,0
185,0,0,0,0
186,0,0,0,0
187,1,0,0,0
188,0,0,0,0
192,0,0,0,0
194,1,0,0,0
195,0,0,0,0
198,0,0,0,0
199,0,0,0,0
200,0,0,0,0
202,0,0,0,0
204,1,1,1,1
206,0,0,0,0
208,0,0,0,0
210,0,0,0,0
211,0,0,0,0
212,1,0,0,0
213,0,0,0,0
214,0,0,1,0
216,0,0,0,0
218,0,0,0,0
219,0,1,0,0
220,0,0,0,0
223,0,1,1,0
224,0,1,1,1
225,0,0,0,0
229,1,0,0,1
233,0,0,0,0
234,0,0,0,0
235,0,0,0,0
236,1,0,0,0
237,0,0,0,0
240,0,0,0,0
241,0,0,0,0
242,0,0,0,0
243,0,0,0,0
244,1,1,0,1
245,1,0,0,0
246,0,0,0,0
247,0,0,0,0
249,0,0,1,0
250,0,0,0,0
252,0,0,0,0
255,0,0,0,0
257,1,0,0,0
260,0,0,0,0
262,0,0,0,0
264,0,0,0,0
266,0,0,0,0
267,1,1,1,1
268,0,0,0,0
269,0,0,0,0
270,0,0,0,0
272,0,0,0,0
274,0,0,0,0
275,0,0,1,0
276,0,0,0,0
279,0,1,0,0
280,0,0,0,0
281,0,0,0,0
282,0,0,0,0
284,0,0,0,0
285,0,0,0,0
286,0,0,0,0
288,0,0,0,0
289,0,0,0,0
290,0,0,0,0
293,0,0,0,0
295,0,0,0,0
296,0,0,0,0
298,0,0,0,0
299,0,0,0,0
300,0,0,0,0
302,0,0,0,0
304,0,1,1,1
307,0,0,0,0
308,1,0,0,0
309,0,0,0,0
310,0,0,0,0
312,0,0,0,0
314,0,0,0,0
315,1,0,0,0
316,1,0,0,0
317,0,1,1,1
318,1,1,1,1
320,0,1,1,1
321,1,1,1,1
322,1,0,0,0
323,0,1,1,1
325,0,1,1,1
326,1,0,0,0
328,1,1,1,1
329,1,1,1,1
331,0,0,0,0
333,1,1,1,1
337,0,0,0,0
338,0,0,0,0
342,0,0,0,0
344,0,0,0,0
345,0,0,0,0
346,1,0,0,0
350,1,1,1,1
351,0,0,0,0
353,0,0,0,0
355,0,0,0,0
356,0,0,1,0
357,0,1,1,1
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
362,1,0,0,0
365,0,0,0,0
366,0,0,0,0
370,0,0,0,0
374,0,0,0,0
376,0,1,1,1
379,0,0,0,0
380,0,1,1,1
384,0,0,0,0
386,0,0,0,0
387,0,0,1,0
388,0,0,0,0
389,0,1,1,1
390,0,0,0,0
391,0,0,0,0
392,0,0,0,0
394,0,0,0,0
397,0,0,0,0
402,0,0,0,0
404,0,0,1,0
405,1,0,0,0
406,0,0,0,0
409,0,0,0,0
410,0,0,0,0
411,0,0,0,0
412,0,0,0,0
413,0,0,0,0
415,0,0,0,0
416,0,0,0,0
419,0,0,0,0
422,0,0,0,0
423,0,0,0,0
424,0,0,0,0
427,0,0,0,0
430,0,0,0,0
431,0,0,0,0
432,0,0,1,0
433,1,0,0,0
434,0,0,0,0
436,1,1,1,1
440,0,0,0,0
441,0,0,0,0
442,0,0,0,0
443,1,0,0,0
445,0,0,0,0
446,0,0,0,0
447,0,0,0,0
448,0,0,0,0
449,0,0,1,0
452,0,0,0,0
453,0,0,0,0
456,1,0,0,0
458,0,0,0,0
460,0,0,1,0
462,1,0,0,0
463,0,0,0,0
465,0,0,0,0
468,0,0,0,0
469,1,0,0,0
471,1,0,0,0
472,0,0,0,0
473,0,0,0,0
476,1,0,0,0
478,0,0,1,0
479,0,0,0,0
480,0,0,0,0
481,0,0,0,0
482,0,0,0,0
483,0,0,0,0
484,0,0,0,0
489,0,0,0,0
490,0,0,0,0
492,0,0,0,0
495,0,0,0,0
496,0,0,0,0
497,0,0,0,0
500,1,0,0,0
501,0,0,0,0
502,0,0,0,0
503,0,0,0,0
506,0,0,0,0
507,1,1,1,1
508,1,0,0,0
510,0,1,0,1
511,1,1,0,1
513,0,0,1,0
516,0,0,0,0
517,1,1,0,1
518,1,0,0,0
519,1,1,1,1
520,1,0,0,0
521,0,0,0,0
523,1,1,1,1
527,0,0,0,0
529,1,0,0,0
530,0,0,0,0
531,0,0,0,0
533,0,0,0,0
535,0,0,0,0
536,0,1,1,1
537,0,0,0,0
538,0,0,0,0
539,0,0,0,0
540,0,0,0,0
542,0,0,0,0
543,0,0,0,0
544,1,1,1,1
545,0,0,0,0
547,0,0,0,0
548,0,0,0,0
549,0,0,0,0
551,0,1,0,1
552,1,1,0,0
553,0,0,0,0
554,1,1,1,1
555,0,0,0,0
556,0,0,0,0
558,0,0,0,0
559,0,0,0,0
560,1,0,0,0
563,0,0,0,0
566,0,0,0,0
567,0,0,0,0
568,0,0,0,0
569,0,0,0,0
570,0,0,0,0
571,0,0,0,0
573,1,0,0,0
574,1,0,0,0
581,0,1,1,1
582,0,0,0,0
584,0,0,0,0
585,0,0,0,0
588,1,0,0,0
589,1,0,0,0
590,0,0,0,0
591,1,0,0,0
593,0,0,0,0
594,1,0,0,0
595,1,0,0,0
596,0,1,0,1
597,0,0,0,0
598,0,0,0,0
599,1,0,0,0
600,0,0,0,0
601,0,0,0,0
602,0,0,0,0
603,0,0,0,0
605,0,0,0,0
606,1,1,1,1
607,1,0,1,0
609,0,0,0,0
610,0,1,1,1
612,0,0,0,0
614,0,1,1,1
616,0,0,0,0
618,1,0,0,0
619,0,0,0,0
621,0,0,0,0
622,1,1,0,1
623,0,0,0,0
624,0,0,0,0
627,0,1,1,1
629,1,0,0,0
630,1,0,0,0
634,0,0,0,0
636,0,0,0,0
641,1,0,0,0
642,0,0,0,0
644,0,0,0,0
645,0,0,0,0
646,1,0,0,0
648,1,0,0,0
649,1,0,0,0
651,0,0,0,0
655,0,0,0,0
659,0,0,0,0
660,1,0,0,0
662,1,0,0,0
666,0,0,0,0
667,1,1,1,1
669,1,1,0,1
670,0,0,0,0
672,1,1,1,1
673,1,1,1,1
674,0,0,0,0
675,0,0,0,0
676,0,0,0,0
677,1,0,1,1
678,0,0,0,0
679,1,0,0,0
681,0,0,0,0
682,0,0,0,0
685,0,0,0,0
687,0,1,1,1
690,1,0,0,0
693,0,0,0,0
695,1,0,0,0
697,0,0,0,0
698,0,1,1,1
700,0,0,0,0
701,1,0,0,0
706,0,0,0,0
708,0,0,0,0
709,0,0,0,0
710,1,0,0,0
712,1,1,0,1
713,0,0,0,0
714,0,1,0,1
716,0,0,0,0
717,0,0,0,0
718,0,0,0,0
721,1,0,1,0
722,1,0,1,0
729,0,0,0,0
730,0,0,1,0
731,0,0,0,0
733,0,0,0,0
735,0,0,0,0
736,0,0,0,0
737,0,0,0,0
738,0,0,0,0
740,0,0,0,0
741,0,0,1,0
742,0,1,1,1
743,1,0,0,0
745,0,0,0,0
748,0,0,0,0
749,0,0,0,0
750,0,0,0,0
753,0,0,0,0
755,0,0,1,1
756,0,0,0,0
757,0,0,0,0
758,0,0,0,0
759,0,0,0,0
760,0,0,1,0
762,0,1,1,1
763,1,0,0,0
765,0,0,0,0
766,1,0,0,0
767,0,1,1,1
768,1,1,1,1
769,1,0,0,0
770,0,0,0,0
772,0,0,0,0
773,0,1,1,1
776,0,0,0,0
777,0,1,0,1
780,0,0,0,0
781,0,0,0,0
782,0,0,0,0
783,0,0,0,0
784,1,0,0,0
785,0,0,0,0
786,0,0,0,0
788,0,0,0,0
789,1,0,0,0
792,0,0,1,1
795,1,1,1,1
796,0,0,0,0
798,0,0,0,0
801,0,0,0,0
802,0,0,0,0
804,0,0,0,0
806,0,0,0,0
807,0,1,1,1
808,1,0,0,0
809,0,0,0,0
811,0,0,0,0
813,0,0,0,0
815,0,0,0,0
816,1,0,0,0
817,0,0,0,0
818,1,0,0,0
821,0,1,1,1
822,0,0,0,0
824,0,0,0,0
825,0,0,0,0
827,0,0,0,0
828,0,0,0,0
829,0,0,0,0
830,0,0,0,0
835,0,0,0,0
836,1,1,1,1
839,1,1,1,1
840,0,0,0,0
842,0,0,0,0
846,1,0,1,0
848,0,0,0,0
849,0,0,0,0
850,0,1,1,1
851,0,1,0,1
852,1,0,0,0
853,0,0,0,0
857,1,0,1,0
859,0,0,0,0
860,1,1,1,1
862,0,0,0,0
864,0,0,0,0
865,0,0,0,0
866,1,1,1,1
867,0,0,0,0
868,0,0,0,0
869,0,0,0,0
870,0,0,0,0
872,0,0,0,0
873,0,0,0,0
874,0,0,0,0
876,0,0,0,0
878,0,0,0,0
880,0,1,0,1
881,1,0,0,0
884,0,0,0,0
885,0,0,0,0
888,0,0,0,0
889,0,1,1,1
890,0,0,0,0
891,0,0,0,0
892,0,0,0,0
893,0,0,0,0
895,0,0,0,0
897,0,0,0,0
898,0,0,0,0
900,0,0,0,0
902,0,0,0,0
904,0,1,1,1
905,0,0,0,0
906,0,0,0,0
907,1,0,0,0
908,0,1,1,1
909,0,1,1,1
911,0,0,0,0
912,0,0,0,0
913,0,0,0,0
915,1,1,1,1
916,0,0,0,0
917,0,0,0,0
919,0,0,0,0
920,0,1,0,1
922,1,0,0,0
924,0,0,0,0
925,1,1,1,1
926,0,0,0,0
927,0,0,0,0
928,0,0,0,0
930,0,0,0,0
931,0,0,0,0
932,0,1,1,1
933,1,0,0,0
934,0,0,0,0
937,1,0,0,0
938,0,0,1,0
939,0,0,0,0
941,0,0,1,0
945,0,0,0,0
946,0,0,0,0
947,0,0,0,0
948,1,0,0,0
949,0,0,0,0
950,0,0,0,0
951,0,0,0,0
954,0,0,0,0
955,0,0,0,0
957,0,1,1,1
959,0,0,0,0
960,0,1,1,1
963,0,0,0,0
965,0,0,1,0
966,0,0,0,0
968,0,0,0,0
969,0,0,0,0
970,0,0,0,0
973,1,1,1,1
974,0,0,0,0
975,1,0,0,0
976,0,0,0,0
977,0,0,0,0
978,0,0,0,0
980,0,0,1,0
981,0,0,0,0
982,1,1,1,1
985,0,0,0,0
986,0,1,1,1
988,0,0,0,0
990,0,0,0,0
991,0,0,0,0
993,0,0,0,0
994,1,0,0,0
995,0,0,0,0
996,1,1,1,1
997,0,0,0,0
998,0,0,0,0
999,0,1,1,1
1000,0,0,0,0
1001,0,0,0,0
1002,0,0,0,0
1003,0,0,1,0
1004,0,0,1,1
1005,1,0,0,0
1007,0,1,1,1
1009,1,0,0,0
1010,0,0,0,0
1011,0,1,1,1
1012,0,0,0,0
1014,0,0,1,0
1015,1,0,0,0
1016,0,1,1,1
1021,1,0,0,0
1022,0,1,1,1
1023,0,0,0,0
1024,1,0,0,0
1028,0,0,0,0
1029,0,0,0,0
1032,0,0,0,0
1033,0,0,0,0
1034,0,0,0,0
1038,0,0,0,0
1039,1,1,1,1
1042,0,0,0,0
1043,0,1,1,1
1044,0,0,0,0
1045,0,0,0,0
1046,0,0,0,0
1047,0,0,0,0
1048,0,0,0,0
1049,1,0,0,0
1050,0,0,1,0
1051,0,0,1,0
1052,0,0,0,0
1054,0,0,0,0
1055,0,0,0,0
1057,0,0,0,0
1058,1,1,1,1
1059,1,1,1,1
1060,0,0,0,0
1061,0,0,0,0
1063,0,0,0,0
1064,1,0,0,0
1065,0,0,0,0
1066,0,0,0,0
1067,0,0,1,0
1068,0,0,0,0
1069,0,0,0,0
1070,0,0,0,0
1073,0,0,0,0
1075,0,0,0,0
1076,0,0,0,0
1077,0,0,1,0
1080,0,0,0,0
1081,0,0,0,0
1082,0,0,0,0
1084,0,0,0,0
1086,1,1,1,1
1087,0,0,0,0
1088,0,0,0,0
1089,0,0,1,1
1091,1,0,0,0
1094,0,0,0,0
1095,1,0,0,0
1097,0,0,0,0
1098,0,0,0,0
1099,1,1,1,1
1101,1,1,0,1
1102,0,0,0,0
1103,0,0,0,0
1104,0,0,0,0
1105,0,0,0,0
1106,0,0,0,0
1108,0,0,0,0
1110,0,1,1,1
1111,0,1,1,1
1112,0,0,0,0
1114,0,0,0,0
1116,0,0,0,0
1117,1,0,0,0
1118,0,0,0,0
1121,0,0,0,0
1124,0,0,0,0
1125,0,0,0,0
1127,0,0,0,0
1129,0,0,0,0
1130,0,0,0,0
1131,0,0,1,0
1132,0,0,0,0
1134,0,0,0,0
1135,1,0,0,0
1138,1,1,0,0
1139,1,1,1,1
1142,0,1,0,1
1143,0,1,1,1
1144,0,1,0,1
1145,0,0,0,0
1147,1,0,0,0
1148,1,0,0,0
1153,0,0,0,0
1154,0,0,0,0
1156,0,1,1,1
1157,0,0,0,0
1161,0,0,0,0
1163,0,0,0,0
1164,0,1,0,0
1169,0,0,0,0
1170,0,0,0,0
1172,0,0,0,0
1173,0,0,0,0
1174,0,0,0,0
1175,1,0,1,0
1176,0,0,0,0
1177,0,1,1,1
1178,1,0,0,0
1180,0,0,0,0
1181,0,0,0,0
1183,1,0,0,0
1184,0,1,0,1
1185,0,0,0,0
1186,1,1,1,1
1188,0,0,0,0
1189,1,0,0,0
1190,0,0,0,0
1191,1,0,0,0
1192,0,1,1,1
1196,0,1,1,1
1197,0,0,0,0
1199,1,1,1,1
1200,0,0,0,0
1201,0,0,0,0
1202,1,1,1,1
1203,0,0,0,0
1204,0,0,0,0
1205,0,0,0,0
1206,1,0,0,1
1207,0,0,0,0
1209,0,0,0,0
1210,0,0,0,0
1211,0,0,0,0
1212,0,0,0,0
